=====================================================
Starting temperature: -999.0	Ending Range: 999.0
=====================================================
Celsius		Fahrenheit
-855.0		-1507.0
-854.0		-1505.2
-853.0		-1503.4
-852.0		-1501.6
-851.0		-1499.8
-850.0		-1498.0
-849.0		-1496.2
-848.0		-1494.4
-847.0		-1492.6
-846.0		-1490.8
-845.0		-1489.0
-844.0		-1487.2
-843.0		-1485.4
-842.0		-1483.6
-841.0		-1481.8
-840.0		-1480.0
-839.0		-1478.2
-838.0		-1476.4
-837.0		-1474.6
-836.0		-1472.8
-835.0		-1471.0
-834.0		-1469.2
-833.0		-1467.4
-832.0		-1465.6
-831.0		-1463.8
-830.0		-1462.0
-829.0		-1460.2
-828.0		-1458.4
-827.0		-1456.6
-826.0		-1454.8
-825.0		-1453.0
-824.0		-1451.2
-823.0		-1449.4
-822.0		-1447.6
-821.0		-1445.8
-820.0		-1444.0
-819.0		-1442.2
-818.0		-1440.4
-817.0		-1438.6
-816.0		-1436.8
-815.0		-1435.0
-814.0		-1433.2
-813.0		-1431.4
-812.0		-1429.6
-811.0		-1427.8
-810.0		-1426.0
-809.0		-1424.2
-808.0		-1422.4
-807.0		-1420.6
-806.0		-1418.8
-805.0		-1417.0
-804.0		-1415.2
-803.0		-1413.4
-802.0		-1411.6
-801.0		-1409.8
-800.0		-1408.0
-799.0		-1406.2
-798.0		-1404.4
-797.0		-1402.6
-796.0		-1400.8
-795.0		-1399.0
-794.0		-1397.2
-793.0		-1395.4
-792.0		-1393.6
-791.0		-1391.8
-790.0		-1390.0
-789.0		-1388.2
-788.0		-1386.4
-787.0		-1384.6
-786.0		-1382.8
-785.0		-1381.0
-784.0		-1379.2
-783.0		-1377.4
-782.0		-1375.6
-781.0		-1373.8
-780.0		-1372.0
-779.0		-1370.2
-778.0		-1368.4
-777.0		-1366.6
-776.0		-1364.8
-775.0		-1363.0
-774.0		-1361.2
-773.0		-1359.4
-772.0		-1357.6
-771.0		-1355.8
-770.0		-1354.0
-769.0		-1352.2
-768.0		-1350.4
-767.0		-1348.6
-766.0		-1346.8
-765.0		-1345.0
-764.0		-1343.2
-763.0		-1341.4
-762.0		-1339.6
-761.0		-1337.8
-760.0		-1336.0
-759.0		-1334.2
-758.0		-1332.4
-757.0		-1330.6
-756.0		-1328.8
-755.0		-1327.0
-754.0		-1325.2
-753.0		-1323.4
-752.0		-1321.6
-751.0		-1319.8
-750.0		-1318.0
-749.0		-1316.2
-748.0		-1314.4
-747.0		-1312.6
-746.0		-1310.8
-745.0		-1309.0
-744.0		-1307.2
-743.0		-1305.4
-742.0		-1303.6
-741.0		-1301.8
-740.0		-1300.0
-739.0		-1298.2
-738.0		-1296.4
-737.0		-1294.6
-736.0		-1292.8
-735.0		-1291.0
-734.0		-1289.2
-733.0		-1287.4
-732.0		-1285.6
-731.0		-1283.8
-730.0		-1282.0
-729.0		-1280.2
-728.0		-1278.4
-727.0		-1276.6
-726.0		-1274.8
-725.0		-1273.0
-724.0		-1271.2
-723.0		-1269.4
-722.0		-1267.6
-721.0		-1265.8
-720.0		-1264.0
-719.0		-1262.2
-718.0		-1260.4
-717.0		-1258.6
-716.0		-1256.8
-715.0		-1255.0
-714.0		-1253.2
-713.0		-1251.4
-712.0		-1249.6
-711.0		-1247.8
-710.0		-1246.0
-709.0		-1244.2
-708.0		-1242.4
-707.0		-1240.6
-706.0		-1238.8
-705.0		-1237.0
-704.0		-1235.2
-703.0		-1233.4
-702.0		-1231.6
-701.0		-1229.8
-700.0		-1228.0
-699.0		-1226.2
-698.0		-1224.4
-697.0		-1222.6
-696.0		-1220.8
-695.0		-1219.0
-694.0		-1217.2
-693.0		-1215.4
-692.0		-1213.6
-691.0		-1211.8
-690.0		-1210.0
-689.0		-1208.2
-688.0		-1206.4
-687.0		-1204.6
-686.0		-1202.8
-685.0		-1201.0
-684.0		-1199.2
-683.0		-1197.4
-682.0		-1195.6
-681.0		-1193.8
-680.0		-1192.0
-679.0		-1190.2
-678.0		-1188.4
-677.0		-1186.6
-676.0		-1184.8
-675.0		-1183.0
-674.0		-1181.2
-673.0		-1179.4
-672.0		-1177.6
-671.0		-1175.8
-670.0		-1174.0
-669.0		-1172.2
-668.0		-1170.4
-667.0		-1168.6
-666.0		-1166.8
-665.0		-1165.0
-664.0		-1163.2
-663.0		-1161.4
-662.0		-1159.6
-661.0		-1157.8
-660.0		-1156.0
-659.0		-1154.2
-658.0		-1152.4
-657.0		-1150.6
-656.0		-1148.8
-655.0		-1147.0
-654.0		-1145.2
-653.0		-1143.4
-652.0		-1141.6
-651.0		-1139.8
-650.0		-1138.0
-649.0		-1136.2
-648.0		-1134.4
-647.0		-1132.6
-646.0		-1130.8
-645.0		-1129.0
-644.0		-1127.2
-643.0		-1125.4
-642.0		-1123.6
-641.0		-1121.8
-640.0		-1120.0
-639.0		-1118.2
-638.0		-1116.4
-637.0		-1114.6
-636.0		-1112.8
-635.0		-1111.0
-634.0		-1109.2
-633.0		-1107.4
-632.0		-1105.6
-631.0		-1103.8
-630.0		-1102.0
-629.0		-1100.2
-628.0		-1098.4
-627.0		-1096.6
-626.0		-1094.8
-625.0		-1093.0
-624.0		-1091.2
-623.0		-1089.4
-622.0		-1087.6
-621.0		-1085.8
-620.0		-1084.0
-619.0		-1082.2
-618.0		-1080.4
-617.0		-1078.6
-616.0		-1076.8
-615.0		-1075.0
-614.0		-1073.2
-613.0		-1071.4
-612.0		-1069.6
-611.0		-1067.8
-610.0		-1066.0
-609.0		-1064.2
-608.0		-1062.4
-607.0		-1060.6
-606.0		-1058.8
-605.0		-1057.0
-604.0		-1055.2
-603.0		-1053.4
-602.0		-1051.6
-601.0		-1049.8
-600.0		-1048.0
-599.0		-1046.2
-598.0		-1044.4
-597.0		-1042.6
-596.0		-1040.8
-595.0		-1039.0
-594.0		-1037.2
-593.0		-1035.4
-592.0		-1033.6
-591.0		-1031.8
-590.0		-1030.0
-589.0		-1028.2
-588.0		-1026.4
-587.0		-1024.6
-586.0		-1022.8
-585.0		-1021.0
-584.0		-1019.2
-583.0		-1017.4
-582.0		-1015.6
-581.0		-1013.8
-580.0		-1012.0
-579.0		-1010.2
-578.0		-1008.4
-577.0		-1006.6
-576.0		-1004.8
-575.0		-1003.0
-574.0		-1001.2
-573.0		-999.4
-572.0		-997.6
-571.0		-995.8
-570.0		-994.0
-569.0		-992.2
-568.0		-990.4
-567.0		-988.6
-566.0		-986.8
-565.0		-985.0
-564.0		-983.2
-563.0		-981.4
-562.0		-979.6
-561.0		-977.8
-560.0		-976.0
-559.0		-974.2
-558.0		-972.4
-557.0		-970.6
-556.0		-968.8
-555.0		-967.0
-554.0		-965.2
-553.0		-963.4
-552.0		-961.6
-551.0		-959.8
-550.0		-958.0
-549.0		-956.2
-548.0		-954.4
-547.0		-952.6
-546.0		-950.8
-545.0		-949.0
-544.0		-947.2
-543.0		-945.4
-542.0		-943.6
-541.0		-941.8
-540.0		-940.0
-539.0		-938.2
-538.0		-936.4
-537.0		-934.6
-536.0		-932.8
-535.0		-931.0
-534.0		-929.2
-533.0		-927.4
-532.0		-925.6
-531.0		-923.8
-530.0		-922.0
-529.0		-920.2
-528.0		-918.4
-527.0		-916.6
-526.0		-914.8
-525.0		-913.0
-524.0		-911.2
-523.0		-909.4
-522.0		-907.6
-521.0		-905.8
-520.0		-904.0
-519.0		-902.2
-518.0		-900.4
-517.0		-898.6
-516.0		-896.8
-515.0		-895.0
-514.0		-893.2
-513.0		-891.4
-512.0		-889.6
-511.0		-887.8
-510.0		-886.0
-509.0		-884.2
-508.0		-882.4
-507.0		-880.6
-506.0		-878.8
-505.0		-877.0
-504.0		-875.2
-503.0		-873.4
-502.0		-871.6
-501.0		-869.8
-500.0		-868.0
-499.0		-866.2
-498.0		-864.4
-497.0		-862.6
-496.0		-860.8
-495.0		-859.0
-494.0		-857.2
-493.0		-855.4
-492.0		-853.6
-491.0		-851.8
-490.0		-850.0
-489.0		-848.2
-488.0		-846.4
-487.0		-844.6
-486.0		-842.8
-485.0		-841.0
-484.0		-839.2
-483.0		-837.4
-482.0		-835.6
-481.0		-833.8
-480.0		-832.0
-479.0		-830.2
-478.0		-828.4
-477.0		-826.6
-476.0		-824.8
-475.0		-823.0
-474.0		-821.2
-473.0		-819.4
-472.0		-817.6
-471.0		-815.8
-470.0		-814.0
-469.0		-812.2
-468.0		-810.4
-467.0		-808.6
-466.0		-806.8
-465.0		-805.0
-464.0		-803.2
-463.0		-801.4
-462.0		-799.6
-461.0		-797.8
-460.0		-796.0
-459.0		-794.2
-458.0		-792.4
-457.0		-790.6
-456.0		-788.8
-455.0		-787.0
-454.0		-785.2
-453.0		-783.4
-452.0		-781.6
-451.0		-779.8
-450.0		-778.0
-449.0		-776.2
-448.0		-774.4
-447.0		-772.6
-446.0		-770.8
-445.0		-769.0
-444.0		-767.2
-443.0		-765.4
-442.0		-763.6
-441.0		-761.8
-440.0		-760.0
-439.0		-758.2
-438.0		-756.4
-437.0		-754.6
-436.0		-752.8
-435.0		-751.0
-434.0		-749.2
-433.0		-747.4
-432.0		-745.6
-431.0		-743.8
-430.0		-742.0
-429.0		-740.2
-428.0		-738.4
-427.0		-736.6
-426.0		-734.8
-425.0		-733.0
-424.0		-731.2
-423.0		-729.4
-422.0		-727.6
-421.0		-725.8
-420.0		-724.0
-419.0		-722.2
-418.0		-720.4
-417.0		-718.6
-416.0		-716.8
-415.0		-715.0
-414.0		-713.2
-413.0		-711.4
-412.0		-709.6
-411.0		-707.8
-410.0		-706.0
-409.0		-704.2
-408.0		-702.4
-407.0		-700.6
-406.0		-698.8
-405.0		-697.0
-404.0		-695.2
-403.0		-693.4
-402.0		-691.6
-401.0		-689.8
-400.0		-688.0
-399.0		-686.2
-398.0		-684.4
-397.0		-682.6
-396.0		-680.8
-395.0		-679.0
-394.0		-677.2
-393.0		-675.4
-392.0		-673.6
-391.0		-671.8
-390.0		-670.0
-389.0		-668.2
-388.0		-666.4
-387.0		-664.6
-386.0		-662.8
-385.0		-661.0
-384.0		-659.2
-383.0		-657.4
-382.0		-655.6
-381.0		-653.8
-380.0		-652.0
-379.0		-650.2
-378.0		-648.4
-377.0		-646.6
-376.0		-644.8
-375.0		-643.0
-374.0		-641.2
-373.0		-639.4
-372.0		-637.6
-371.0		-635.8
-370.0		-634.0
-369.0		-632.2
-368.0		-630.4
-367.0		-628.6
-366.0		-626.8
-365.0		-625.0
-364.0		-623.2
-363.0		-621.4
-362.0		-619.6
-361.0		-617.8
-360.0		-616.0
-359.0		-614.2
-358.0		-612.4
-357.0		-610.6
-356.0		-608.8
-355.0		-607.0
-354.0		-605.2
-353.0		-603.4
-352.0		-601.6
-351.0		-599.8
-350.0		-598.0
-349.0		-596.2
-348.0		-594.4
-347.0		-592.6
-346.0		-590.8
-345.0		-589.0
-344.0		-587.2
-343.0		-585.4
-342.0		-583.6
-341.0		-581.8
-340.0		-580.0
-339.0		-578.2
-338.0		-576.4
-337.0		-574.6
-336.0		-572.8
-335.0		-571.0
-334.0		-569.2
-333.0		-567.4
-332.0		-565.6
-331.0		-563.8
-330.0		-562.0
-329.0		-560.2
-328.0		-558.4
-327.0		-556.6
-326.0		-554.8
-325.0		-553.0
-324.0		-551.2
-323.0		-549.4
-322.0		-547.6
-321.0		-545.8
-320.0		-544.0
-319.0		-542.2
-318.0		-540.4
-317.0		-538.6
-316.0		-536.8
-315.0		-535.0
-314.0		-533.2
-313.0		-531.4
-312.0		-529.6
-311.0		-527.8
-310.0		-526.0
-309.0		-524.2
-308.0		-522.4
-307.0		-520.6
-306.0		-518.8
-305.0		-517.0
-304.0		-515.2
-303.0		-513.4
-302.0		-511.6
-301.0		-509.8
-300.0		-508.0
-299.0		-506.2
-298.0		-504.4
-297.0		-502.6
-296.0		-500.8
-295.0		-499.0
-294.0		-497.2
-293.0		-495.4
-292.0		-493.6
-291.0		-491.8
-290.0		-490.0
-289.0		-488.2
-288.0		-486.4
-287.0		-484.6
-286.0		-482.8
-285.0		-481.0
-284.0		-479.2
-283.0		-477.4
-282.0		-475.6
-281.0		-473.8
-280.0		-472.0
-279.0		-470.2
-278.0		-468.4
-277.0		-466.6
-276.0		-464.8
-275.0		-463.0
-274.0		-461.2
-273.0		-459.4
-272.0		-457.6
-271.0		-455.8
-270.0		-454.0
-269.0		-452.2
-268.0		-450.4
-267.0		-448.6
-266.0		-446.8
-265.0		-445.0
-264.0		-443.2
-263.0		-441.4
-262.0		-439.6
-261.0		-437.8
-260.0		-436.0
-259.0		-434.2
-258.0		-432.4
-257.0		-430.6
-256.0		-428.8
-255.0		-427.0
-254.0		-425.2
-253.0		-423.4
-252.0		-421.6
-251.0		-419.8
-250.0		-418.0
-249.0		-416.2
-248.0		-414.4
-247.0		-412.6
-246.0		-410.8
-245.0		-409.0
-244.0		-407.2
-243.0		-405.4
-242.0		-403.6
-241.0		-401.8
-240.0		-400.0
-239.0		-398.2
-238.0		-396.4
-237.0		-394.6
-236.0		-392.8
-235.0		-391.0
-234.0		-389.2
-233.0		-387.4
-232.0		-385.6
-231.0		-383.8
-230.0		-382.0
-229.0		-380.2
-228.0		-378.4
-227.0		-376.6
-226.0		-374.8
-225.0		-373.0
-224.0		-371.2
-223.0		-369.4
-222.0		-367.6
-221.0		-365.8
-220.0		-364.0
-219.0		-362.2
-218.0		-360.4
-217.0		-358.6
-216.0		-356.8
-215.0		-355.0
-214.0		-353.2
-213.0		-351.4
-212.0		-349.6
-211.0		-347.8
-210.0		-346.0
-209.0		-344.2
-208.0		-342.4
-207.0		-340.6
-206.0		-338.8
-205.0		-337.0
-204.0		-335.2
-203.0		-333.4
-202.0		-331.6
-201.0		-329.8
-200.0		-328.0
-199.0		-326.2
-198.0		-324.4
-197.0		-322.6
-196.0		-320.8
-195.0		-319.0
-194.0		-317.2
-193.0		-315.4
-192.0		-313.6
-191.0		-311.8
-190.0		-310.0
-189.0		-308.2
-188.0		-306.4
-187.0		-304.6
-186.0		-302.8
-185.0		-301.0
-184.0		-299.2
-183.0		-297.4
-182.0		-295.6
-181.0		-293.8
-180.0		-292.0
-179.0		-290.2
-178.0		-288.4
-177.0		-286.6
-176.0		-284.8
-175.0		-283.0
-174.0		-281.2
-173.0		-279.4
-172.0		-277.6
-171.0		-275.8
-170.0		-274.0
-169.0		-272.2
-168.0		-270.4
-167.0		-268.6
-166.0		-266.8
-165.0		-265.0
-164.0		-263.2
-163.0		-261.4
-162.0		-259.6
-161.0		-257.8
-160.0		-256.0
-159.0		-254.2
-158.0		-252.4
-157.0		-250.6
-156.0		-248.8
-155.0		-247.0
-154.0		-245.2
-153.0		-243.4
-152.0		-241.6
-151.0		-239.8
-150.0		-238.0
-149.0		-236.2
-148.0		-234.4
-147.0		-232.6
-146.0		-230.8
-145.0		-229.0
-144.0		-227.2
-143.0		-225.4
-142.0		-223.6
-141.0		-221.8
-140.0		-220.0
-139.0		-218.2
-138.0		-216.4
-137.0		-214.6
-136.0		-212.8
-135.0		-211.0
-134.0		-209.2
-133.0		-207.4
-132.0		-205.6
-131.0		-203.8
-130.0		-202.0
-129.0		-200.2
-128.0		-198.4
-127.0		-196.6
-126.0		-194.8
-125.0		-193.0
-124.0		-191.2
-123.0		-189.4
-122.0		-187.6
-121.0		-185.8
-120.0		-184.0
-119.0		-182.2
-118.0		-180.4
-117.0		-178.6
-116.0		-176.8
-115.0		-175.0
-114.0		-173.2
-113.0		-171.4
-112.0		-169.6
-111.0		-167.8
-110.0		-166.0
-109.0		-164.2
-108.0		-162.4
-107.0		-160.6
-106.0		-158.8
-105.0		-157.0
-104.0		-155.2
-103.0		-153.4
-102.0		-151.6
-101.0		-149.8
-100.0		-148.0
-99.0		-146.2
-98.0		-144.4
-97.0		-142.6
-96.0		-140.8
-95.0		-139.0
-94.0		-137.2
-93.0		-135.4
-92.0		-133.6
-91.0		-131.8
-90.0		-130.0
-89.0		-128.2
-88.0		-126.4
-87.0		-124.6
-86.0		-122.8
-85.0		-121.0
-84.0		-119.2
-83.0		-117.4
-82.0		-115.6
-81.0		-113.8
-80.0		-112.0
-79.0		-110.2
-78.0		-108.4
-77.0		-106.6
-76.0		-104.8
-75.0		-103.0
-74.0		-101.2
-73.0		-99.4
-72.0		-97.6
-71.0		-95.8
-70.0		-94.0
-69.0		-92.2
-68.0		-90.4
-67.0		-88.6
-66.0		-86.8
-65.0		-85.0
-64.0		-83.2
-63.0		-81.4
-62.0		-79.6
-61.0		-77.8
-60.0		-76.0
-59.0		-74.2
-58.0		-72.4
-57.0		-70.6
-56.0		-68.8
-55.0		-67.0
-54.0		-65.2
-53.0		-63.4
-52.0		-61.6
-51.0		-59.8
-50.0		-58.0
-49.0		-56.2
-48.0		-54.4
-47.0		-52.6
-46.0		-50.8
-45.0		-49.0
-44.0		-47.2
-43.0		-45.4
-42.0		-43.6
-41.0		-41.8
-40.0		-40.0
-39.0		-38.2
-38.0		-36.4
-37.0		-34.6
-36.0		-32.8
-35.0		-31.0
-34.0		-29.2
-33.0		-27.4
-32.0		-25.6
-31.0		-23.8
-30.0		-22.0
-29.0		-20.2
-28.0		-18.4
-27.0		-16.6
-26.0		-14.8
-25.0		-13.0
-24.0		-11.2
-23.0		-9.4
-22.0		-7.6
-21.0		-5.8
-20.0		-4.0
-19.0		-2.2
-18.0		-0.4
-17.0		1.4
-16.0		3.2
-15.0		5.0
-14.0		6.8
-13.0		8.6
-12.0		10.4
-11.0		12.2
-10.0		14.0
-9.0		15.8
-8.0		17.6
-7.0		19.4
-6.0		21.2
-5.0		23.0
-4.0		24.8
-3.0		26.6
-2.0		28.4
-1.0		30.2
0.0		32.0
1.0		33.8
2.0		35.6
3.0		37.4
4.0		39.2
5.0		41.0
6.0		42.8
7.0		44.6
8.0		46.4
9.0		48.2
10.0		50.0
11.0		51.8
12.0		53.6
13.0		55.4
14.0		57.2
15.0		59.0
16.0		60.8
17.0		62.6
18.0		64.4
19.0		66.2
20.0		68.0
21.0		69.8
22.0		71.6
23.0		73.4
24.0		75.2
25.0		77.0
26.0		78.8
27.0		80.6
28.0		82.4
29.0		84.2
30.0		86.0
31.0		87.8
32.0		89.6
33.0		91.4
34.0		93.2
35.0		95.0
36.0		96.8
37.0		98.6
38.0		100.4
39.0		102.2
40.0		104.0
41.0		105.8
42.0		107.6
43.0		109.4
44.0		111.2
45.0		113.0
46.0		114.8
47.0		116.6
48.0		118.4
49.0		120.2
50.0		122.0
51.0		123.8
52.0		125.6
53.0		127.4
54.0		129.2
55.0		131.0
56.0		132.8
57.0		134.6
58.0		136.4
59.0		138.2
60.0		140.0
61.0		141.8
62.0		143.6
63.0		145.4
64.0		147.2
65.0		149.0
66.0		150.8
67.0		152.6
68.0		154.4
69.0		156.2
70.0		158.0
71.0		159.8
72.0		161.6
73.0		163.4
74.0		165.2
75.0		167.0
76.0		168.8
77.0		170.6
78.0		172.4
79.0		174.2
80.0		176.0
81.0		177.8
82.0		179.6
83.0		181.4
84.0		183.2
85.0		185.0
86.0		186.8
87.0		188.6
88.0		190.4
89.0		192.2
90.0		194.0
91.0		195.8
92.0		197.6
93.0		199.4
94.0		201.2
95.0		203.0
96.0		204.8
97.0		206.6
98.0		208.4
99.0		210.2
100.0		212.0
101.0		213.8
102.0		215.6
103.0		217.4
104.0		219.2
105.0		221.0
106.0		222.8
107.0		224.6
108.0		226.4
109.0		228.2
110.0		230.0
111.0		231.8
112.0		233.6
113.0		235.4
114.0		237.2
115.0		239.0
116.0		240.8
117.0		242.6
118.0		244.4
119.0		246.2
120.0		248.0
121.0		249.8
122.0		251.6
123.0		253.4
124.0		255.2
125.0		257.0
126.0		258.8
127.0		260.6
128.0		262.4
129.0		264.2
130.0		266.0
131.0		267.8
132.0		269.6
133.0		271.4
134.0		273.2
135.0		275.0
136.0		276.8
137.0		278.6
138.0		280.4
139.0		282.2
140.0		284.0
141.0		285.8
142.0		287.6
143.0		289.4
144.0		291.2
145.0		293.0
146.0		294.8
147.0		296.6
148.0		298.4
149.0		300.2
150.0		302.0
151.0		303.8
152.0		305.6
153.0		307.4
154.0		309.2
155.0		311.0
156.0		312.8
157.0		314.6
158.0		316.4
159.0		318.2
160.0		320.0
161.0		321.8
162.0		323.6
163.0		325.4
164.0		327.2
165.0		329.0
166.0		330.8
167.0		332.6
168.0		334.4
169.0		336.2
170.0		338.0
171.0		339.8
172.0		341.6
173.0		343.4
174.0		345.2
175.0		347.0
176.0		348.8
177.0		350.6
178.0		352.4
179.0		354.2
180.0		356.0
181.0		357.8
182.0		359.6
183.0		361.4
184.0		363.2
185.0		365.0
186.0		366.8
187.0		368.6
188.0		370.4
189.0		372.2
190.0		374.0
191.0		375.8
192.0		377.6
193.0		379.4
194.0		381.2
195.0		383.0
196.0		384.8
197.0		386.6
198.0		388.4
199.0		390.2
200.0		392.0
201.0		393.8
202.0		395.6
203.0		397.4
204.0		399.2
205.0		401.0
206.0		402.8
207.0		404.6
208.0		406.4
209.0		408.2
210.0		410.0
211.0		411.8
212.0		413.6
213.0		415.4
214.0		417.2
215.0		419.0
216.0		420.8
217.0		422.6
218.0		424.4
219.0		426.2
220.0		428.0
221.0		429.8
222.0		431.6
223.0		433.4
224.0		435.2
225.0		437.0
226.0		438.8
227.0		440.6
228.0		442.4
229.0		444.2
230.0		446.0
231.0		447.8
232.0		449.6
233.0		451.4
234.0		453.2
235.0		455.0
236.0		456.8
237.0		458.6
238.0		460.4
239.0		462.2
240.0		464.0
241.0		465.8
242.0		467.6
243.0		469.4
244.0		471.2
245.0		473.0
246.0		474.8
247.0		476.6
248.0		478.4
249.0		480.2
250.0		482.0
251.0		483.8
252.0		485.6
253.0		487.4
254.0		489.2
255.0		491.0
256.0		492.8
257.0		494.6
258.0		496.4
259.0		498.2
260.0		500.0
261.0		501.8
262.0		503.6
263.0		505.4
264.0		507.2
265.0		509.0
266.0		510.8
267.0		512.6
268.0		514.4
269.0		516.2
270.0		518.0
271.0		519.8
272.0		521.6
273.0		523.4
274.0		525.2
275.0		527.0
276.0		528.8
277.0		530.6
278.0		532.4
279.0		534.2
280.0		536.0
281.0		537.8
282.0		539.6
283.0		541.4
284.0		543.2
285.0		545.0
286.0		546.8
287.0		548.6
288.0		550.4
289.0		552.2
290.0		554.0
291.0		555.8
292.0		557.6
293.0		559.4
294.0		561.2
295.0		563.0
296.0		564.8
297.0		566.6
298.0		568.4
299.0		570.2
300.0		572.0
301.0		573.8
302.0		575.6
303.0		577.4
304.0		579.2
305.0		581.0
306.0		582.8
307.0		584.6
308.0		586.4
309.0		588.2
310.0		590.0
311.0		591.8
312.0		593.6
313.0		595.4
314.0		597.2
315.0		599.0
316.0		600.8
317.0		602.6
318.0		604.4
319.0		606.2
320.0		608.0
321.0		609.8
322.0		611.6
323.0		613.4
324.0		615.2
325.0		617.0
326.0		618.8
327.0		620.6
328.0		622.4
329.0		624.2
330.0		626.0
331.0		627.8
332.0		629.6
333.0		631.4
334.0		633.2
335.0		635.0
336.0		636.8
337.0		638.6
338.0		640.4
339.0		642.2
340.0		644.0
341.0		645.8
342.0		647.6
343.0		649.4
344.0		651.2
345.0		653.0
346.0		654.8
347.0		656.6
348.0		658.4
349.0		660.2
350.0		662.0
351.0		663.8
352.0		665.6
353.0		667.4
354.0		669.2
355.0		671.0
356.0		672.8
357.0		674.6
358.0		676.4
359.0		678.2
360.0		680.0
361.0		681.8
362.0		683.6
363.0		685.4
364.0		687.2
365.0		689.0
366.0		690.8
367.0		692.6
368.0		694.4
369.0		696.2
370.0		698.0
371.0		699.8
372.0		701.6
373.0		703.4
374.0		705.2
375.0		707.0
376.0		708.8
377.0		710.6
378.0		712.4
379.0		714.2
380.0		716.0
381.0		717.8
382.0		719.6
383.0		721.4
384.0		723.2
385.0		725.0
386.0		726.8
387.0		728.6
388.0		730.4
389.0		732.2
390.0		734.0
391.0		735.8
392.0		737.6
393.0		739.4
394.0		741.2
395.0		743.0
396.0		744.8
397.0		746.6
398.0		748.4
399.0		750.2
400.0		752.0
401.0		753.8
402.0		755.6
403.0		757.4
404.0		759.2
405.0		761.0
406.0		762.8
407.0		764.6
408.0		766.4
409.0		768.2
410.0		770.0
411.0		771.8
412.0		773.6
413.0		775.4
414.0		777.2
415.0		779.0
416.0		780.8
417.0		782.6
418.0		784.4
419.0		786.2
420.0		788.0
421.0		789.8
422.0		791.6
423.0		793.4
424.0		795.2
425.0		797.0
426.0		798.8
427.0		800.6
428.0		802.4
429.0		804.2
430.0		806.0
431.0		807.8
432.0		809.6
433.0		811.4
434.0		813.2
435.0		815.0
436.0		816.8
